#********mc_data: L-24.0, k_b-3000000000.0, dt-1e-12, N-300.0********


#init L		 init nma	 init fma	 state		 unbinding prob 		 cumulative unbinding prob
24.000000	4.418446	3.988480	LEADING		0.111806	0.263353
24.000000	4.682437	3.310657	LEADING		0.000764	0.001968
24.000000	4.620713	4.636245	TRAILING	0.002741	0.004847
24.000000	4.577663	4.117191	TRAILING	0.102654	0.177229
24.000000	4.357445	4.030669	TRAILING	0.149658	0.262159
24.000000	4.485779	3.628795	LEADING		0.032072	0.078501
24.000000	4.132845	3.964493	TRAILING	0.106045	0.188793
24.000000	4.491724	3.757005	LEADING		0.061600	0.149179
24.000000	4.190025	3.792223	LEADING		0.074693	0.174194
24.000000	4.291771	3.775866	TRAILING	0.108651	0.188351
24.000000	4.312235	4.346146	TRAILING	0.043808	0.078631
24.000000	4.003556	3.967386	TRAILING	0.062624	0.112859
24.000000	4.498788	4.272299	LEADING		0.051595	0.120021
24.000000	4.009935	4.129859	LEADING		0.038771	0.085921
24.000000	3.794128	3.809081	LEADING		0.012645	0.028137
24.000000	4.743163	4.006939	TRAILING	0.061785	0.104644
24.000000	4.088384	4.034108	LEADING		0.067705	0.152728
24.000000	4.141333	4.044414	LEADING		0.079668	0.180687
24.000000	4.073767	4.025983	LEADING		0.064747	0.145905
24.000000	4.406092	3.902456	TRAILING	0.145043	0.251004
24.000000	4.370910	3.976551	TRAILING	0.154016	0.268567
24.000000	4.551926	3.866449	TRAILING	0.106811	0.182243
24.000000	4.381494	3.741686	LEADING		0.068794	0.164760
24.000000	4.107796	4.207704	LEADING		0.044358	0.098789
24.000000	4.230254	3.763872	LEADING		0.072640	0.170632
24.000000	4.735241	4.015050	LEADING		0.044702	0.108988
24.000000	4.521870	3.609798	TRAILING	0.037480	0.063125
24.000000	4.211312	3.729255	LEADING		0.062253	0.146368
24.000000	3.546660	3.937279	TRAILING	0.001542	0.002894
24.000000	4.528161	3.931586	LEADING		0.090384	0.216638
24.000000	4.638544	3.918199	TRAILING	0.089435	0.151999
24.000000	4.908924	3.749312	TRAILING	0.010445	0.017289
24.000000	4.880605	3.644672	TRAILING	0.006868	0.011326
24.000000	4.591435	3.979503	TRAILING	0.111103	0.190164
24.000000	4.380105	3.696118	TRAILING	0.078702	0.134744
24.000000	4.931558	3.975671	TRAILING	0.018728	0.031266
24.000000	4.091755	3.804847	TRAILING	0.078521	0.138780
24.000000	4.248140	4.173057	LEADING		0.074737	0.169836
24.000000	4.761575	3.926664	LEADING		0.035553	0.087471
24.000000	4.101420	4.245527	TRAILING	0.044225	0.080533
24.000000	4.561209	3.857225	LEADING		0.071732	0.173614
24.000000	4.848249	3.962938	TRAILING	0.032934	0.055247
24.000000	4.214761	4.057847	TRAILING	0.120660	0.214529
24.000000	4.315580	4.191629	TRAILING	0.098486	0.174955
24.000000	4.196503	4.113648	LEADING		0.080384	0.182436
24.000000	4.815965	4.513150	LEADING		0.003418	0.008155
24.000000	4.171093	3.772918	TRAILING	0.090336	0.158204
24.000000	4.739685	3.969905	LEADING		0.042515	0.104037
24.000000	4.045172	3.892085	TRAILING	0.075246	0.134367
24.000000	4.023001	3.923103	TRAILING	0.069278	0.124234
24.000000	4.107157	3.741151	TRAILING	0.068724	0.120766
24.000000	4.197955	3.855852	TRAILING	0.116480	0.204648
24.000000	4.400729	4.161290	TRAILING	0.114573	0.201512
24.000000	4.400729	4.161290	LEADING		0.086939	0.201512
24.000000	4.171400	4.027208	LEADING		0.088553	0.201860
24.000000	4.315877	4.098084	TRAILING	0.130954	0.231246
24.000000	4.315877	4.098084	LEADING		0.100292	0.231246
24.000000	4.604001	4.190189	TRAILING	0.078640	0.135985
24.000000	4.232883	4.005965	TRAILING	0.133680	0.236468
24.000000	4.351869	4.470617	LEADING		0.014239	0.031988
24.000000	4.214002	3.598467	TRAILING	0.044398	0.076558
24.000000	4.364650	4.039656	LEADING		0.111603	0.260100
24.000000	4.059718	3.809727	TRAILING	0.070642	0.125255
24.000000	4.537067	4.013503	TRAILING	0.127758	0.220076
24.000000	4.470195	3.772937	TRAILING	0.097082	0.165808
24.000000	4.091986	4.213044	TRAILING	0.049814	0.090586
24.000000	4.404947	3.852827	TRAILING	0.133076	0.229616
24.000000	4.561719	4.284732	TRAILING	0.058130	0.101423
24.000000	5.019828	4.104823	TRAILING	0.009642	0.016086
24.000000	4.297671	4.255204	TRAILING	0.072621	0.129763
24.000000	4.707943	4.159868	LEADING		0.042994	0.103459
24.000000	4.385693	3.995484	LEADING		0.113991	0.267305
24.000000	4.591772	3.697154	TRAILING	0.049862	0.083991
24.000000	4.210777	3.571850	TRAILING	0.037483	0.064534
24.000000	4.421443	3.673210	TRAILING	0.067240	0.114574
24.000000	4.824610	4.172186	TRAILING	0.033270	0.056419
24.000000	4.140415	3.529641	LEADING		0.018177	0.043190
24.000000	4.160450	3.883642	TRAILING	0.110915	0.195889
24.000000	4.218727	4.350061	LEADING		0.028708	0.064032
24.000000	4.091608	4.015322	TRAILING	0.088354	0.158456
24.000000	4.481556	3.686134	TRAILING	0.064730	0.109869
24.000000	4.261645	4.327821	LEADING		0.036248	0.081446
24.000000	4.257064	4.148313	LEADING		0.082279	0.187569
24.000000	4.304617	4.431212	TRAILING	0.023234	0.041972
24.000000	4.631632	4.428843	TRAILING	0.019596	0.034222
24.000000	4.311453	3.827455	LEADING		0.093553	0.220592
24.000000	4.054692	3.820432	LEADING		0.054912	0.125746
24.000000	4.824540	3.889713	TRAILING	0.033215	0.055619
24.000000	4.173671	3.675174	TRAILING	0.062412	0.108553
24.000000	4.290964	4.104046	TRAILING	0.125606	0.222404
24.000000	4.381399	4.421111	TRAILING	0.027337	0.048955
24.000000	4.085533	3.875198	TRAILING	0.086800	0.154249
24.000000	4.352382	4.168499	LEADING		0.084828	0.195335
24.000000	4.120555	4.023718	TRAILING	0.097156	0.173870
24.000000	4.106390	4.374203	LEADING		0.016941	0.037176
24.000000	4.141279	4.177163	LEADING		0.056380	0.126411
24.000000	4.219316	4.154802	TRAILING	0.095250	0.170374
24.000000	4.484208	4.114264	LEADING		0.091120	0.214167
24.000000	4.795427	3.995106	TRAILING	0.046693	0.078734
24.000000	4.296418	3.870936	TRAILING	0.137410	0.239579
24.000000	4.648923	3.847950	TRAILING	0.073627	0.124560
24.000000	4.540870	3.934934	LEADING		0.087926	0.210998
24.000000	4.456212	3.999351	LEADING		0.107310	0.253674
24.000000	4.244162	4.122171	TRAILING	0.111096	0.197816
24.000000	4.323708	3.585175	TRAILING	0.043428	0.074152
24.000000	4.182710	3.940044	TRAILING	0.122065	0.215967
24.000000	4.182710	3.940044	LEADING		0.093902	0.215967
24.000000	4.723280	3.684785	LEADING		0.017068	0.042616
24.000000	4.222916	4.003483	TRAILING	0.131345	0.232512
24.000000	4.388503	4.029048	TRAILING	0.150168	0.262293
24.000000	4.575056	4.190721	TRAILING	0.084403	0.146333
24.000000	4.508259	4.193757	TRAILING	0.094662	0.165152
24.000000	4.341445	3.740779	TRAILING	0.097099	0.167245
24.000000	4.550716	4.369308	TRAILING	0.035992	0.063158
24.000000	4.293514	4.109510	LEADING		0.095864	0.220225
24.000000	4.371279	3.502490	TRAILING	0.023296	0.039411
24.000000	4.801567	4.033848	LEADING		0.031359	0.076911
24.000000	4.642894	4.142980	TRAILING	0.080235	0.137930
24.000000	4.076475	3.637554	LEADING		0.030087	0.070243
24.000000	3.828208	4.110010	TRAILING	0.015641	0.028970
24.000000	3.895618	4.148926	TRAILING	0.022188	0.040946
24.000000	4.533492	3.871386	TRAILING	0.113165	0.193424
24.000000	4.533492	3.871386	LEADING		0.080259	0.193424
24.000000	4.349270	3.994580	LEADING		0.114599	0.267587
24.000000	4.332711	4.305382	TRAILING	0.057840	0.103328
24.000000	4.401878	4.011134	TRAILING	0.151612	0.264211
24.000000	4.494072	3.866859	TRAILING	0.122017	0.209165
24.000000	4.378560	3.820118	LEADING		0.090613	0.215465
24.000000	4.317827	3.798866	TRAILING	0.118069	0.204528
24.000000	4.317317	4.132650	TRAILING	0.120169	0.212638
24.000000	3.981136	3.819004	TRAILING	0.050864	0.090887
24.000000	4.550524	3.554879	TRAILING	0.023321	0.039063
24.000000	4.034871	3.683370	LEADING		0.032533	0.075268
24.000000	4.191018	3.722319	LEADING		0.058648	0.137657
24.000000	4.079841	4.046573	TRAILING	0.080494	0.144837
24.000000	4.847358	3.796361	TRAILING	0.020734	0.034516
24.000000	4.378673	4.312664	LEADING		0.044709	0.102097
24.000000	4.255843	4.172013	TRAILING	0.096896	0.172904
24.000000	3.932905	3.528492	TRAILING	0.011742	0.020632
24.000000	4.712122	3.719188	TRAILING	0.032783	0.054827
24.000000	4.489919	4.238212	TRAILING	0.081151	0.142182
24.000000	4.380589	4.033298	TRAILING	0.149680	0.261693
24.000000	4.268021	3.803335	TRAILING	0.115608	0.201177
24.000000	4.046622	4.021368	TRAILING	0.072723	0.131032
24.000000	4.046622	4.021368	LEADING		0.058310	0.131032
24.000000	4.199570	4.182569	LEADING		0.065183	0.147126
24.000000	4.204941	4.057263	TRAILING	0.118078	0.210123
24.000000	5.168276	3.901932	TRAILING	0.001673	0.002758
24.000000	4.687854	3.682282	TRAILING	0.030341	0.050721
24.000000	4.451174	3.932352	TRAILING	0.143956	0.248619
24.000000	4.075053	3.868921	LEADING		0.064471	0.147341
24.000000	4.149423	4.067748	LEADING		0.078505	0.177863
24.000000	4.223931	4.112970	TRAILING	0.109195	0.194687
24.000000	4.604812	3.967041	TRAILING	0.105983	0.181080
24.000000	4.292056	3.530941	TRAILING	0.030008	0.051181
24.000000	4.893400	4.394149	TRAILING	0.007949	0.013523
24.000000	4.598864	3.927655	TRAILING	0.103923	0.177264
24.000000	4.190754	4.156847	LEADING		0.069827	0.157782
24.000000	4.217140	3.586769	TRAILING	0.041513	0.071508
24.000000	4.152775	4.023644	TRAILING	0.107845	0.192417
