#********mc_data: L-8.0, k_b-3000000000.0, dt-1e-10, N-50.0********


#init L		 init nma	 init fma	 state		 unbinding prob 	 cumulative unbinding prob
8.000000	4.189419	4.213742	TRAILING	0.373213	0.721301
8.000000	4.189419	4.213742	LEADING		0.348088	0.721301
8.000000	3.772376	3.699160	LEADING		0.032344	0.067397
8.000000	4.303570	4.126557	LEADING		0.540116	1.140326
8.000000	4.484730	4.016130	TRAILING	0.509100	0.949802
8.000000	4.484730	4.016130	LEADING		0.440701	0.949802
8.000000	4.418446	3.988480	LEADING		0.483298	1.039665
8.000000	4.024786	4.326905	TRAILING	0.094664	0.188282
8.000000	4.606262	4.207754	TRAILING	0.390236	0.730613
8.000000	4.735512	4.336725	LEADING		0.154038	0.330584
8.000000	4.511020	4.438265	TRAILING	0.180770	0.345200
8.000000	4.183389	3.857880	TRAILING	0.388017	0.729964
8.000000	4.357445	4.030669	TRAILING	0.629973	1.184417
8.000000	4.267225	4.150164	LEADING		0.496453	1.042599
8.000000	4.132845	3.964493	TRAILING	0.437569	0.833003
8.000000	4.132845	3.964493	LEADING		0.395434	0.833003
8.000000	4.636950	4.330976	TRAILING	0.264855	0.497806
8.000000	4.021525	4.186316	LEADING		0.193854	0.395634
8.000000	4.374657	3.853387	LEADING		0.323125	0.699354
8.000000	4.491724	3.757005	LEADING		0.096869	0.210845
8.000000	4.241640	3.872462	LEADING		0.382058	0.818500
8.000000	4.190025	3.792223	LEADING		0.262726	0.564104
8.000000	4.335713	3.770345	LEADING		0.221013	0.479991
8.000000	4.291771	3.775866	TRAILING	0.283219	0.526222
8.000000	4.291771	3.775866	LEADING		0.243004	0.526222
8.000000	4.312235	4.346146	TRAILING	0.271364	0.524167
8.000000	4.270886	4.148971	TRAILING	0.551043	1.051520
8.000000	4.571671	3.973952	TRAILING	0.298587	0.555517
8.000000	4.137349	3.948314	TRAILING	0.434526	0.825876
8.000000	4.252907	4.484652	LEADING		0.075219	0.152691
8.000000	4.332195	4.459606	LEADING		0.118392	0.243291
8.000000	4.498788	4.272299	LEADING		0.381802	0.810767
8.000000	4.761490	4.298716	LEADING		0.143140	0.307477
8.000000	4.009935	4.129859	LEADING		0.218593	0.448073
8.000000	3.794128	3.809081	LEADING		0.057483	0.118825
8.000000	4.207709	4.343098	TRAILING	0.204726	0.399639
8.000000	4.482199	4.268318	LEADING		0.393708	0.835152
8.000000	4.395209	4.375877	LEADING		0.238554	0.497615
8.000000	4.081878	3.922133	LEADING		0.318658	0.670513
8.000000	3.731070	3.438324	TRAILING	0.004381	0.008271
8.000000	4.228990	4.204442	LEADING		0.400006	0.832968
8.000000	4.388230	3.922868	TRAILING	0.486495	0.907210
8.000000	4.388230	3.922868	LEADING		0.420715	0.907210
8.000000	4.304699	4.052053	TRAILING	0.629133	1.188934
8.000000	4.088384	4.034108	LEADING		0.353953	0.737952
8.000000	3.979643	4.147722	LEADING		0.176906	0.360817
8.000000	4.210753	4.007189	TRAILING	0.546347	1.036755
8.000000	4.288678	4.258789	TRAILING	0.404304	0.776974
8.000000	4.288678	4.258789	LEADING		0.372670	0.776974
8.000000	4.141333	4.044414	LEADING		0.419546	0.878442
8.000000	4.073767	4.025983	LEADING		0.336097	0.700224
8.000000	4.066004	3.956817	TRAILING	0.347287	0.664543
8.000000	4.066004	3.956817	LEADING		0.317256	0.664543
8.000000	4.885695	4.513338	TRAILING	0.036284	0.067967
8.000000	4.202856	3.693128	TRAILING	0.174991	0.325054
8.000000	4.202856	3.693128	LEADING		0.150063	0.325054
8.000000	4.657129	4.241639	LEADING		0.267978	0.575542
8.000000	4.406092	3.902456	TRAILING	0.436096	0.811657
8.000000	4.044472	3.832875	TRAILING	0.248498	0.471745
8.000000	4.370910	3.976551	TRAILING	0.576105	1.078650
8.000000	4.370910	3.976551	LEADING		0.502545	1.078650
8.000000	4.218885	3.761279	TRAILING	0.264420	0.492940
8.000000	4.235907	4.358320	LEADING		0.193645	0.397684
8.000000	4.551926	3.866449	TRAILING	0.170731	0.317238
8.000000	4.541786	4.459009	LEADING		0.139813	0.293914
8.000000	4.514681	4.172196	TRAILING	0.521627	0.979282
8.000000	4.381494	3.741686	LEADING		0.161669	0.352432
8.000000	4.295673	4.021018	TRAILING	0.616604	1.163572
8.000000	4.295673	4.021018	LEADING		0.546968	1.163572
8.000000	4.200134	4.305558	LEADING		0.237249	0.487871
8.000000	4.516692	4.562267	LEADING		0.059480	0.123579
8.000000	4.363145	4.232928	LEADING		0.448945	0.944901
8.000000	4.364095	4.150671	LEADING		0.541875	1.147986
8.000000	4.482843	4.139358	TRAILING	0.567951	1.066306
8.000000	4.389789	4.191057	LEADING		0.505861	1.070767
8.000000	4.107796	4.207704	TRAILING	0.281158	0.547516
8.000000	4.107796	4.207704	LEADING		0.266358	0.547516
8.000000	4.212364	3.734807	LEADING		0.195864	0.423169
8.000000	4.549924	4.047448	TRAILING	0.434970	0.810899
8.000000	4.549924	4.047448	LEADING		0.375929	0.810899
8.000000	4.666586	4.233907	TRAILING	0.297217	0.555916
8.000000	4.666586	4.233907	LEADING		0.258699	0.555916
8.000000	3.876782	4.144899	TRAILING	0.096064	0.190457
8.000000	4.158556	3.667758	LEADING		0.123197	0.266531
8.000000	3.829515	3.990315	LEADING		0.091973	0.187550
8.000000	3.877457	3.793085	LEADING		0.091500	0.190977
8.000000	4.083983	4.142226	LEADING		0.297621	0.614096
8.000000	4.791853	4.700189	LEADING		0.009680	0.020470
8.000000	4.142669	3.700991	LEADING		0.150503	0.324321
8.000000	4.230254	3.763872	LEADING		0.232485	0.501807
8.000000	4.359805	4.178282	TRAILING	0.574574	1.090701
8.000000	4.359805	4.178282	LEADING		0.516127	1.090701
8.000000	4.332880	4.265308	LEADING		0.388626	0.813372
8.000000	4.334383	3.710658	TRAILING	0.174787	0.322867
8.000000	4.471624	4.710572	LEADING		0.010192	0.020714
8.000000	4.602164	4.330112	TRAILING	0.291483	0.548936
8.000000	4.235010	3.572425	LEADING		0.057185	0.125311
8.000000	3.688024	3.714591	TRAILING	0.019938	0.038683
8.000000	4.423931	4.119726	TRAILING	0.618042	1.163271
8.000000	4.201950	3.729291	TRAILING	0.218897	0.407633
8.000000	4.201950	3.729291	LEADING		0.188736	0.407633
8.000000	4.035126	4.101408	TRAILING	0.279389	0.542750
8.000000	4.035126	4.101408	LEADING		0.263361	0.542750
8.000000	4.500045	4.001183	TRAILING	0.467175	0.870536
8.000000	4.528161	3.931586	LEADING		0.270283	0.585318
8.000000	4.307222	4.009973	LEADING		0.543447	1.158141
8.000000	3.768508	3.885516	LEADING		0.056622	0.115910
8.000000	4.700538	4.427667	TRAILING	0.139542	0.262528
8.000000	4.700538	4.427667	LEADING		0.122986	0.262528
8.000000	3.947041	3.918831	TRAILING	0.194198	0.374425
8.000000	3.957823	4.190257	LEADING		0.133816	0.271104
8.000000	4.591435	3.979503	TRAILING	0.266531	0.496197
8.000000	4.741919	4.133645	LEADING		0.103642	0.220715
8.000000	4.327259	3.996123	LEADING		0.534257	1.141524
8.000000	4.594517	4.174908	LEADING		0.362071	0.777940
8.000000	4.228937	3.864912	TRAILING	0.420909	0.789656
8.000000	4.128115	4.288996	TRAILING	0.207028	0.405437
8.000000	4.528543	4.193350	LEADING		0.433824	0.927943
8.000000	4.562654	4.200003	TRAILING	0.451092	0.845894
8.000000	4.380105	3.696118	TRAILING	0.135579	0.249917
8.000000	3.985806	3.423994	TRAILING	0.013133	0.024269
8.000000	4.309743	3.729924	LEADING		0.178378	0.387944
8.000000	4.528450	4.101863	LEADING		0.443142	0.952696
8.000000	4.091755	3.804847	TRAILING	0.261660	0.493782
8.000000	4.606828	4.563495	LEADING		0.056499	0.118530
8.000000	3.957865	3.995207	LEADING		0.200157	0.413356
8.000000	4.248140	4.173057	LEADING		0.456178	0.954389
8.000000	4.255180	3.881676	TRAILING	0.454008	0.851186
8.000000	4.466095	4.487238	LEADING		0.113698	0.236564
8.000000	4.453765	4.199081	TRAILING	0.544794	1.028311
8.000000	4.506060	4.059721	TRAILING	0.519361	0.970067
8.000000	4.502237	3.903501	LEADING		0.267801	0.580484
8.000000	3.910313	3.994803	LEADING		0.153745	0.315986
8.000000	4.043467	3.954838	LEADING		0.290792	0.607891
8.000000	4.482883	3.805320	LEADING		0.158078	0.343865
8.000000	4.028072	4.475186	TRAILING	0.024847	0.050336
8.000000	4.165924	4.441142	TRAILING	0.080092	0.158725
8.000000	4.638997	4.142519	LEADING		0.291660	0.628086
8.000000	4.160727	4.179802	TRAILING	0.381670	0.737527
8.000000	4.315306	4.435705	LEADING		0.138032	0.283796


 Average Unbinding Prob: 0.250192
