# command line: ./generate_stepping_data --ls 10.49 --lt 23.8 --k_b 10000000000.0 --k_ub 10000000000.0 --cb 0.1 --cm 0.4 --ct 0.2 --dt 1e-10 --label paperhisto --seed 1 --runtime 0.001 --framerate 1 --eqb 120 --eqmpre 200 --eqmpost 224 --eqt 0
# version: 




#********paperhisto__k_b-1e+10,k_ub-1e+10,cb-0.1,cm-0.4,ct-0.2,ls-10.49,lt-23.8,seed-1,dt-1e-10********
#time_unbind, time_bind, nbx, fbx
#[time: 0]
8.113000000000000e-06 1.303760000000000e-05 0.000000000000000e+00 -1.747359942941804e+01
1.303760000000000e-05 2.213790000000000e-05 0.000000000000000e+00 1.608967413598827e-01
2.213790000000000e-05 2.213820000000000e-05 4.002967463501887e-01 1.608967413598827e-01
2.213820000000000e-05 3.343090000000000e-05 4.002967463501887e-01 -5.366604141215796e-01
3.343090000000000e-05 3.343260000000000e-05 -1.631046166564576e+00 -5.366604141215796e-01
3.343260000000000e-05 3.343450000000000e-05 -1.631046166564576e+00 -8.498256738068219e-01
3.343450000000000e-05 3.367680000000000e-05 -3.716182601809186e+00 -8.498256738068219e-01
3.367680000000000e-05 3.635450000000000e-05 -3.716182601809186e+00 -7.017938030744295e+00
3.635450000000000e-05 3.635480000000000e-05 -2.547105579473425e+00 -7.017938030744295e+00
3.635480000000000e-05 3.635530000000000e-05 -2.547105579473425e+00 -7.268520826450787e+00
3.635530000000000e-05 3.789100000000000e-05 -4.214835176118127e+00 -7.268520826450787e+00
3.789100000000000e-05 3.789180000000000e-05 -4.214835176118127e+00 -8.095551233193907e+00
3.789180000000000e-05 3.789220000000000e-05 -4.214835176118127e+00 -8.199156180742431e+00
3.789220000000000e-05 4.397240000000000e-05 -4.214835176118127e+00 5.992288440696408e+00
4.397240000000000e-05 5.905560000000000e-05 -4.214835176118127e+00 -3.981649040461596e+00
5.905560000000000e-05 6.315500000000000e-05 -4.214835176118127e+00 -6.040834787801481e+00
6.315500000000000e-05 6.321560000000000e-05 -4.214835176118127e+00 -5.301262646237234e+00
6.321560000000000e-05 6.952970000000000e-05 -4.214835176118127e+00 -4.568271688916540e+00
6.952970000000000e-05 7.400400000000000e-05 -3.907499629940534e+00 -4.568271688916540e+00
7.400400000000000e-05 8.543860000000001e-05 -3.907499629940534e+00 8.919458649938818e+00
8.543860000000001e-05 9.482500000000000e-05 -3.907499629940534e+00 -4.932393596050481e+00
9.482500000000000e-05 9.631880000000000e-05 -3.907499629940534e+00 -6.055231436366300e+00
9.631880000000000e-05 9.749590000000001e-05 -3.907499629940534e+00 -1.118353136127981e+01
9.749590000000001e-05 9.749650000000000e-05 -6.532644018219530e+00 -1.118353136127981e+01
9.749650000000000e-05 9.910130000000001e-05 6.974770596834785e+00 -1.118353136127981e+01
9.910130000000001e-05 1.042284000000000e-04 -3.243219897583586e+00 -1.118353136127981e+01
1.042284000000000e-04 1.120651000000000e-04 -3.243219897583586e+00 9.904523518643218e+00
1.120651000000000e-04 1.121238000000000e-04 6.673554744225898e+00 9.904523518643218e+00
1.121238000000000e-04 1.161543000000000e-04 6.673554744225898e+00 6.684381343112148e+00
1.161543000000000e-04 1.183776000000000e-04 5.241660460313666e-01 6.684381343112148e+00
1.183776000000000e-04 1.279467000000000e-04 5.241660460313666e-01 4.411254965569488e+00
1.279467000000000e-04 1.363576000000000e-04 4.015661464639011e+00 4.411254965569488e+00
1.363576000000000e-04 1.469809000000000e-04 4.015661464639011e+00 5.751785353924965e+00
1.469809000000000e-04 1.470039000000000e-04 1.871296308987281e+00 5.751785353924965e+00
1.470039000000000e-04 1.470044000000000e-04 4.546573905195712e+00 5.751785353924965e+00
1.470044000000000e-04 1.470057000000000e-04 4.546573905195712e+00 5.505693251944376e+00
1.470057000000000e-04 1.567266000000000e-04 6.000535046477584e+00 5.505693251944376e+00
1.567266000000000e-04 1.698362000000000e-04 6.000535046477584e+00 2.336014859180437e+00
1.698362000000000e-04 1.698366000000000e-04 6.000535046477584e+00 3.026608140695011e+00
1.698366000000000e-04 1.698372000000000e-04 6.000535046477584e+00 2.691732834352651e+00
1.698372000000000e-04 1.698375000000000e-04 6.000535046477584e+00 1.763606811958708e+00
1.698375000000000e-04 1.698378000000000e-04 6.475267415675257e+00 1.763606811958708e+00
1.698378000000000e-04 1.702542000000000e-04 6.475267415675257e+00 1.810629514476324e+01
1.702542000000000e-04 1.702555000000000e-04 6.475267415675257e+00 2.013870953671109e+01
1.702555000000000e-04 1.809706000000000e-04 1.886043421232473e+01 2.013870953671109e+01
1.809706000000000e-04 1.809719000000000e-04 1.886043421232473e+01 2.041955334622278e+01
1.809719000000000e-04 1.849830000000000e-04 2.064296419215058e+01 2.041955334622278e+01
1.849830000000000e-04 1.906433000000000e-04 2.064296419215058e+01 1.195165179057957e+01
1.906433000000000e-04 1.906438000000000e-04 1.983537759062228e+01 1.195165179057957e+01
1.906438000000000e-04 1.998181000000000e-04 1.983537759062228e+01 1.386964559728124e+01
1.998181000000000e-04 2.006646000000000e-04 1.398853559162369e+01 1.386964559728124e+01
2.006646000000000e-04 2.160260000000000e-04 1.398853559162369e+01 1.409838868248619e+01
2.160260000000000e-04 2.212486000000000e-04 1.398853559162369e+01 2.087877881554678e+01
2.212486000000000e-04 2.212502000000000e-04 1.398853559162369e+01 2.536510777050091e+01
2.212502000000000e-04 2.212523000000000e-04 1.398853559162369e+01 2.505029609711262e+01
2.212523000000000e-04 2.217330000000000e-04 2.833648716170932e+01 2.505029609711262e+01
2.217330000000000e-04 2.218606000000000e-04 2.833648716170932e+01 2.567485980254436e+01
2.218606000000000e-04 2.246605000000000e-04 2.833648716170932e+01 2.964315656955873e+01
2.246605000000000e-04 2.251897000000000e-04 3.053828501840968e+01 2.964315656955873e+01
2.251897000000000e-04 2.253101000000000e-04 2.871881747798048e+01 2.964315656955873e+01
2.253101000000000e-04 2.300554000000000e-04 2.934783317277039e+01 2.964315656955873e+01
2.300554000000000e-04 2.349024000000000e-04 2.934783317277039e+01 2.935776322336575e+01
2.349024000000000e-04 2.349032000000000e-04 2.934783317277039e+01 2.857378980818393e+01
2.349032000000000e-04 2.402240000000000e-04 2.934783317277039e+01 3.128827971214607e+01
2.402240000000000e-04 2.413773000000000e-04 2.934783317277039e+01 2.949113693075376e+01
2.413773000000000e-04 2.505196000000000e-04 3.059801878350561e+01 2.949113693075376e+01
2.505196000000000e-04 2.546862000000000e-04 3.059801878350561e+01 2.060328743001647e+01
2.546862000000000e-04 2.546875000000000e-04 3.059801878350561e+01 2.098561700181316e+01
2.546875000000000e-04 2.620645000000000e-04 2.200486385509977e+01 2.098561700181316e+01
2.620645000000000e-04 2.620648000000000e-04 2.293004909916899e+01 2.098561700181316e+01
2.620648000000000e-04 2.638478000000000e-04 2.293004909916899e+01 3.727022538473454e+01
2.638478000000000e-04 2.685600000000000e-04 2.293004909916899e+01 3.843179877897025e+01
2.685600000000000e-04 2.713671000000000e-04 2.293004909916899e+01 3.229466016079879e+01
2.713671000000000e-04 2.740812000000000e-04 4.147729681412374e+01 3.229466016079879e+01
2.740812000000000e-04 2.746856000000000e-04 4.147729681412374e+01 4.194647007436714e+01
2.746856000000000e-04 2.746865000000000e-04 4.147729681412374e+01 3.845368937805293e+01
2.746865000000000e-04 2.778151000000000e-04 4.607174874602890e+01 3.845368937805293e+01
2.778151000000000e-04 2.863913000000000e-04 3.921201420498470e+01 3.845368937805293e+01
2.863913000000000e-04 2.863916000000000e-04 3.898541141717992e+01 3.845368937805293e+01
2.863916000000000e-04 2.933692000000000e-04 3.898541141717992e+01 3.921446148574185e+01
2.933692000000000e-04 2.933894000000000e-04 3.898541141717992e+01 3.893792011252147e+01
2.933894000000000e-04 2.938632000000000e-04 3.898541141717992e+01 3.955990231773254e+01
2.938632000000000e-04 2.975213000000000e-04 3.898541141717992e+01 3.955048086930169e+01
2.975213000000000e-04 2.975218000000000e-04 3.940911797479659e+01 3.955048086930169e+01
2.975218000000000e-04 3.101246000000000e-04 3.940911797479659e+01 3.784042165803966e+01
3.101246000000000e-04 3.101264000000000e-04 3.940911797479659e+01 3.933185187218869e+01
3.101264000000000e-04 3.101268000000000e-04 3.940911797479659e+01 3.932776713714571e+01
3.101268000000000e-04 3.338835000000000e-04 3.940911797479659e+01 3.946771493609029e+01
3.338835000000000e-04 3.361383000000000e-04 4.329908161051907e+01 3.946771493609029e+01
3.361383000000000e-04 3.361386000000000e-04 4.398358579479744e+01 3.946771493609029e+01
3.361386000000000e-04 3.374965000000000e-04 4.398358579479744e+01 4.326484331266256e+01
3.374965000000000e-04 3.374969000000000e-04 4.443938669061561e+01 4.326484331266256e+01
3.374969000000000e-04 3.374974000000000e-04 4.365307394242317e+01 4.326484331266256e+01
3.374974000000000e-04 3.427340000000000e-04 4.365307394242317e+01 5.078505785327742e+01
3.427340000000000e-04 3.455730000000000e-04 4.365307394242317e+01 4.383257297940979e+01
3.455730000000000e-04 3.487629000000000e-04 4.365307394242317e+01 4.362515714633598e+01
3.487629000000000e-04 3.487636000000000e-04 4.362696610947572e+01 4.362515714633598e+01
3.487636000000000e-04 3.487641000000000e-04 4.362696610947572e+01 4.344751160306935e+01
3.487641000000000e-04 3.620517000000000e-04 4.378985728086931e+01 4.344751160306935e+01
3.620517000000000e-04 3.647799000000000e-04 4.364661137735800e+01 4.344751160306935e+01
3.647799000000000e-04 3.647803000000000e-04 4.389882591829874e+01 4.344751160306935e+01
3.647803000000000e-04 3.690581000000000e-04 4.286543056292508e+01 4.344751160306935e+01
3.690581000000000e-04 3.738471000000000e-04 4.402391189631034e+01 4.344751160306935e+01
3.738471000000000e-04 3.747751000000000e-04 4.433884483223224e+01 4.344751160306935e+01
3.747751000000000e-04 3.816605000000000e-04 4.414207202186599e+01 4.344751160306935e+01
3.816605000000000e-04 3.943022000000000e-04 4.346154554362950e+01 4.344751160306935e+01
3.943022000000000e-04 4.005910000000000e-04 4.346154554362950e+01 4.292381751673653e+01
4.005910000000000e-04 4.078961000000000e-04 4.346154554362950e+01 4.441767725138183e+01
4.078961000000000e-04 4.226087000000000e-04 4.473936136279914e+01 4.441767725138183e+01
4.226087000000000e-04 4.226093000000000e-04 4.470306688486806e+01 4.441767725138183e+01
4.226093000000000e-04 4.237116000000000e-04 5.272558648354838e+01 4.441767725138183e+01
4.237116000000000e-04 4.239416000000000e-04 5.272558648354838e+01 5.368364914010671e+01
4.239416000000000e-04 4.239428000000000e-04 5.272558648354838e+01 5.466889292948761e+01
4.239428000000000e-04 4.294719000000000e-04 5.272558648354838e+01 5.181939574241046e+01
4.294719000000000e-04 4.294766000000000e-04 5.209727340578689e+01 5.181939574241046e+01
4.294766000000000e-04 4.359541000000000e-04 5.209727340578689e+01 5.107979068250660e+01
4.359541000000000e-04 4.489344000000000e-04 4.836776062390592e+01 5.107979068250660e+01
4.489344000000000e-04 4.577660000000000e-04 4.836776062390592e+01 4.107293143062493e+01
4.577660000000000e-04 4.629421000000000e-04 4.836776062390592e+01 4.859590905639312e+01
4.629421000000000e-04 4.744333000000000e-04 4.679049557564991e+01 4.859590905639312e+01
4.744333000000000e-04 4.746567000000000e-04 4.345280782602396e+01 4.859590905639312e+01
4.746567000000000e-04 4.746588000000000e-04 4.496637419792231e+01 4.859590905639312e+01
4.746588000000000e-04 4.757993000000000e-04 4.496637419792231e+01 4.530839821505270e+01
4.757993000000000e-04 4.757996000000000e-04 4.563177820489372e+01 4.530839821505270e+01
4.757996000000000e-04 4.758005000000000e-04 4.563177820489372e+01 4.576699870632807e+01
4.758005000000000e-04 4.758010000000000e-04 4.689113322145506e+01 4.576699870632807e+01
4.758010000000000e-04 4.765678000000000e-04 4.689113322145506e+01 4.745190265479049e+01
4.765678000000000e-04 4.785715000000000e-04 4.689113322145506e+01 4.720601363157893e+01
4.785715000000000e-04 4.911069000000000e-04 4.935955233385287e+01 4.720601363157893e+01
4.911069000000000e-04 4.911539000000000e-04 4.721278564097686e+01 4.720601363157893e+01
4.911539000000000e-04 4.932648000000000e-04 5.021126581720873e+01 4.720601363157893e+01
4.932648000000000e-04 5.061047000000000e-04 5.021126581720873e+01 3.402292754222814e+01
5.061047000000000e-04 5.061050000000000e-04 4.972889278780742e+01 3.402292754222814e+01
5.061050000000000e-04 5.124320000000001e-04 4.972889278780742e+01 5.008066895938104e+01
5.124320000000001e-04 5.124348000000000e-04 4.972889278780742e+01 5.093131070410484e+01
5.124348000000000e-04 5.124359000000000e-04 4.972889278780742e+01 4.972837678900351e+01
5.124359000000000e-04 5.124362000000000e-04 4.983413445618491e+01 4.972837678900351e+01
5.124362000000000e-04 5.136022000000000e-04 4.983413445618491e+01 5.007314511397205e+01
5.136022000000000e-04 5.151330000000000e-04 4.983413445618491e+01 4.895521979962268e+01
5.151330000000000e-04 5.151905000000001e-04 4.983413445618491e+01 4.028001901801652e+01
5.151905000000001e-04 5.194696000000000e-04 3.983219319646975e+01 4.028001901801652e+01
5.194696000000000e-04 5.195059000000001e-04 3.983219319646975e+01 3.735278470099028e+01
5.195059000000001e-04 5.233970000000000e-04 3.714674789595263e+01 3.735278470099028e+01
5.233970000000000e-04 5.233974000000000e-04 3.714674789595263e+01 3.889676156306901e+01
5.233974000000000e-04 5.241153000000000e-04 3.714674789595263e+01 3.675293360596530e+01
5.241153000000000e-04 5.241176000000000e-04 3.726099562966235e+01 3.675293360596530e+01
5.241176000000000e-04 5.343433000000001e-04 3.726099562966235e+01 4.855354125517869e+01
5.343433000000001e-04 5.343436000000000e-04 3.677348486483292e+01 4.855354125517869e+01
5.343436000000000e-04 5.343775000000000e-04 3.677348486483292e+01 3.558438834411502e+01
5.343775000000000e-04 5.343883000000000e-04 3.704519807883026e+01 3.558438834411502e+01
5.343883000000000e-04 5.394485000000001e-04 3.129304858504994e+01 3.558438834411502e+01
5.394485000000001e-04 5.397553000000000e-04 3.511643657482749e+01 3.558438834411502e+01
5.397553000000000e-04 5.591781000000001e-04 3.866804991084825e+01 3.558438834411502e+01
5.591781000000001e-04 5.652850000000000e-04 3.549183868273738e+01 3.558438834411502e+01
5.652850000000000e-04 5.677519000000000e-04 3.549183868273738e+01 4.139479287810577e+01
5.677519000000000e-04 5.677524000000001e-04 3.584473472655535e+01 4.139479287810577e+01
5.677524000000001e-04 5.744608000000000e-04 3.584473472655535e+01 3.585992994911811e+01
5.744608000000000e-04 5.777744000000000e-04 3.584473472655535e+01 3.586810449313678e+01
5.777744000000000e-04 5.874676000000000e-04 3.584473472655535e+01 3.712517723662547e+01
5.874676000000000e-04 5.874708000000000e-04 3.584473472655535e+01 3.950188989519285e+01
5.874708000000000e-04 5.899971000000000e-04 3.584473472655535e+01 3.621775625888399e+01
5.899971000000000e-04 5.943792000000000e-04 3.771346074744992e+01 3.621775625888399e+01
5.943792000000000e-04 5.943800000000000e-04 3.771346074744992e+01 3.730736244043990e+01
5.943800000000000e-04 6.006738000000000e-04 3.771346074744992e+01 3.651965020476069e+01
6.006738000000000e-04 6.008443000000000e-04 3.771346074744992e+01 3.953875317576506e+01
6.008443000000000e-04 6.008449000000000e-04 3.786856568355702e+01 3.953875317576506e+01
6.008449000000000e-04 6.008453000000000e-04 3.748033581972100e+01 3.953875317576506e+01
6.008453000000000e-04 6.192994000000000e-04 4.253175711794419e+01 3.953875317576506e+01
