# command line: ./generate_stepping_data --ls 10.49 --lt 23.8 --k_b 10000000000.0 --k_ub 100 --cb 0.1 --cm 0.5 --ct 0.2 --dt 1e-10 --label paperhisto --seed 2 --runtime 0.8 --framerate 1 --eqb 120 --eqmpre 200 --eqmpost 224 --eqt 0
# version: 




#********paperhisto__k_b-1e+10,k_ub-100,cb-0.1,cm-0.5,ct-0.2,ls-10.49,lt-23.8,seed-2,dt-1e-10********
#time_unbind, time_bind, nbx, fbx
#[time: 0]
3.464138800000000e-03 3.492241800000000e-03 0.000000000000000e+00 1.994992116487854e+00
#[time: 0.01]
#[time: 0.02]
#[time: 0.03]
#[time: 0.04]
#[time: 0.05]
#[time: 0.06]
#[time: 0.07]
7.760563560000000e-02 7.760627280000000e-02 0.000000000000000e+00 7.043870792749400e-01
7.872762840000000e-02 7.876713050000000e-02 0.000000000000000e+00 -2.131373592094715e+00
#[time: 0.08]
8.470022820000001e-02 8.472171650000000e-02 0.000000000000000e+00 9.464055210890474e-01
#[time: 0.09]
9.164135410000000e-02 9.167132000000000e-02 0.000000000000000e+00 2.022759082021377e-01
9.426719100000000e-02 9.426828490000000e-02 0.000000000000000e+00 -6.269865973940361e+00
9.907617160000000e-02 9.907944410000000e-02 0.000000000000000e+00 4.846349648497155e-01
#[time: 0.1]
#[time: 0.11]
1.136906108000000e-01 1.137030019000000e-01 0.000000000000000e+00 7.035968149441083e-01
1.177097448000000e-01 1.177102427000000e-01 0.000000000000000e+00 4.611567721412111e+00
#[time: 0.12]
#[time: 0.13]
#[time: 0.14]
#[time: 0.15]
#[time: 0.16]
1.672824349000000e-01 1.672844943000000e-01 5.305067177222729e+00 4.611567721412111e+00
1.695255155000000e-01 1.695255187000000e-01 1.485798019208514e+01 4.611567721412111e+00
#[time: 0.17]
1.714113988000000e-01 1.714199594000000e-01 1.485798019208514e+01 1.535120610744211e+01
#[time: 0.18]
1.824919807000000e-01 1.824949633000000e-01 1.513776828037591e+01 1.535120610744211e+01
1.829974264000000e-01 1.830276755000000e-01 1.513776828037591e+01 1.148033970006231e+01
#[time: 0.19]
#[time: 0.2]
2.039866032000000e-01 2.040201122000000e-01 1.513776828037591e+01 1.896342728466629e+01
#[time: 0.21]
2.104990247000000e-01 2.105013865000000e-01 1.513776828037591e+01 6.004072111721047e+00
2.146805904000000e-01 2.146805909000000e-01 1.513776828037591e+01 5.563151923208565e+00
#[time: 0.22]
2.225621545000000e-01 2.225644952000000e-01 8.376269089059052e+00 5.563151923208565e+00
2.267345015000000e-01 2.267346123000000e-01 9.161720004208284e+00 5.563151923208565e+00
#[time: 0.23]
2.325132606000000e-01 2.325147506000000e-01 9.161720004208284e+00 9.263099853936144e+00
#[time: 0.24]
2.496027778000000e-01 2.496050063000000e-01 9.161720004208284e+00 1.029383631143896e+01
#[time: 0.25]
#[time: 0.26]
2.600066620000000e-01 2.600335736000000e-01 9.161720004208284e+00 1.197612243745222e+01
#[time: 0.27]
#[time: 0.28]
#[time: 0.29]
2.960333438000000e-01 2.960363769000000e-01 9.161720004208284e+00 1.136820431524921e+01
#[time: 0.3]
#[time: 0.31]
#[time: 0.32]
#[time: 0.33]
#[time: 0.34]
#[time: 0.35]
#[time: 0.36]
3.610865947000000e-01 3.611253737000000e-01 1.095971313119250e+01 1.136820431524921e+01
#[time: 0.37]
3.746507257000000e-01 3.746518747000000e-01 1.080261763591944e+01 1.136820431524921e+01
#[time: 0.38]
3.848612616000000e-01 3.848737178000000e-01 1.123945930610836e+01 1.136820431524921e+01
3.855293107000000e-01 3.855334854000000e-01 1.145962636285742e+01 1.136820431524921e+01
#[time: 0.39]
#[time: 0.4]
#[time: 0.41]
4.137102795000000e-01 4.137361687000000e-01 1.127809845832230e+01 1.136820431524921e+01
4.159826030000000e-01 4.159906420000000e-01 1.127809845832230e+01 8.205528626025078e+00
4.174623477000000e-01 4.174677090000000e-01 7.654293168809486e+00 8.205528626025078e+00
#[time: 0.42]
4.252683087000000e-01 4.252838677000000e-01 8.239819533548628e+00 8.205528626025078e+00
#[time: 0.43]
4.395879372000000e-01 4.395969958000000e-01 8.239819533548628e+00 6.161577952931955e+00
#[time: 0.44]
#[time: 0.45]
4.514725829000000e-01 4.514981614000000e-01 5.657278948859453e+00 6.161577952931955e+00
#[time: 0.46]
#[time: 0.47]
#[time: 0.48]
4.880337452000000e-01 4.880712198000000e-01 5.657278948859453e+00 5.779613568484509e+00
#[time: 0.49]
#[time: 0.5]
#[time: 0.51]
#[time: 0.52]
5.250955182000000e-01 5.251075762000000e-01 5.657278948859453e+00 5.421419125825473e+00
5.295303447000000e-01 5.295338548000000e-01 1.209544512220980e+00 5.421419125825473e+00
#[time: 0.53]
5.389119054000000e-01 5.389296517000001e-01 5.540163264034838e+00 5.421419125825473e+00
#[time: 0.54]
#[time: 0.55]
#[time: 0.56]
#[time: 0.57]
5.746452776000001e-01 5.746699405000000e-01 4.241971402470426e+00 5.421419125825473e+00
#[time: 0.58]
#[time: 0.59]
#[time: 0.6]
#[time: 0.61]
#[time: 0.62]
6.227959627000000e-01 6.228069541000000e-01 5.864862344817199e+00 5.421419125825473e+00
#[time: 0.63]
#[time: 0.64]
#[time: 0.65]
#[time: 0.66]
#[time: 0.67]
6.776316451000001e-01 6.776345399000000e-01 7.717922205286223e+00 5.421419125825473e+00
#[time: 0.68]
6.827193527000001e-01 6.827368558000000e-01 1.061317143883857e+01 5.421419125825473e+00
#[time: 0.69]
6.911086019000000e-01 6.911235888000000e-01 3.716899321618394e+00 5.421419125825473e+00
#[time: 0.7]
#[time: 0.71]
#[time: 0.72]
#[time: 0.73]
7.316186806000000e-01 7.316294444000000e-01 3.716899321618394e+00 3.079753256293102e+00
7.390936968000000e-01 7.390972601000000e-01 2.809412138795152e+00 3.079753256293102e+00
#[time: 0.74]
#[time: 0.75]
#[time: 0.76]
#[time: 0.77]
#[time: 0.78]
#[time: 0.79]
