# command line: ./generate_stepping_data --ls 10.49 --lt 23.8 --k_b 1e+16 --k_ub 4250.0 --cb 0.1 --cm 1.5 --ct 0.6 --dt 1e-10 --label springsearch-47 --seed 5 --runtime 1 --framerate 1 --eqb 120 --eqmpre 200 --eqmpost 224 --eqt 0



#********springsearch-47__k_b-1e+16,k_ub-4250,cb-0.1,cm-1.5,ct-0.6,ls-10.49,lt-23.8,seed-5,dt-1e-10********
#time_unbind, time_bind, nbx, fbx
#[time: 0]
1.909758800000000e-03 1.965387100000000e-03 0.000000000000000e+00 3.782702954089601e-02
2.289857500000000e-03 2.315658300000000e-03 -1.706153115271078e-01 3.782702954089601e-02
3.980659800000000e-03 4.468136500000000e-03 -1.706153115271078e-01 -2.225491454007313e+01
4.826203400000000e-03 5.332401300000000e-03 -1.706153115271078e-01 -1.123418669884249e-01
5.476725600000000e-03 5.776265100000001e-03 -1.706153115271078e-01 6.458295018570579e+00
6.124720400000000e-03 6.276677900000000e-03 1.084413935476359e+01 6.458295018570579e+00
6.665063000000001e-03 6.698350200000001e-03 1.084413935476359e+01 1.088732796940983e+01
6.913735200000000e-03 6.958077300000001e-03 1.178629585807764e+01 1.088732796940983e+01
7.966369900000001e-03 8.230867600000000e-03 9.787814926769100e+00 1.088732796940983e+01
9.093399900000000e-03 9.145254900000000e-03 1.077831893157391e+01 1.088732796940983e+01
9.187409400000001e-03 9.237551600000001e-03 1.077831893157391e+01 1.078097637469042e+01
9.521875000000001e-03 9.694997300000001e-03 1.077831893157391e+01 1.189835257933444e+01
#[time: 0.01]
1.139010030000000e-02 1.175822210000000e-02 1.147050365288938e+01 1.189835257933444e+01
1.188086500000000e-02 1.190884160000000e-02 1.147050365288938e+01 1.100121691531768e+01
1.307710830000000e-02 1.325201740000000e-02 1.087991959658768e+01 1.100121691531768e+01
1.393638070000000e-02 1.409071150000000e-02 1.116440843624904e+01 1.100121691531768e+01
1.451955040000000e-02 1.464359760000000e-02 1.116440843624904e+01 1.274860297615228e+01
1.513890940000000e-02 1.535064760000000e-02 1.015287301960134e+01 1.274860297615228e+01
1.537206900000000e-02 1.541116330000000e-02 1.015287301960134e+01 9.036051226773964e+00
1.541875910000000e-02 1.553556990000000e-02 1.015287301960134e+01 9.912504001941254e+00
1.582385630000000e-02 1.603455670000000e-02 9.581419504173061e+00 9.912504001941254e+00
1.832297860000000e-02 1.832443700000000e-02 9.581419504173061e+00 9.582489999359316e+00
1.849556520000000e-02 1.851088680000000e-02 9.581419504173061e+00 1.014328959257343e+01
1.991306450000000e-02 1.995810990000000e-02 1.442507165464433e+01 1.014328959257343e+01
#[time: 0.02]
2.017352960000000e-02 2.024917540000000e-02 1.442507165464433e+01 2.058250802446506e+01
2.039874780000000e-02 2.047214070000000e-02 1.664768058205941e+01 2.058250802446506e+01
2.059218820000000e-02 2.078753380000000e-02 2.117589391291401e+01 2.058250802446506e+01
2.115260730000000e-02 2.145918670000000e-02 2.059841574150116e+01 2.058250802446506e+01
2.213273610000000e-02 2.224300610000000e-02 2.074616939683364e+01 2.058250802446506e+01
2.269209180000000e-02 2.272041040000000e-02 2.074616939683364e+01 2.074879945278090e+01
