# Acquired by emailing ahmet yildiz
# Data from 2012 DeWitt ... Yildiz paper
# motor-labeled dynein
# from: one color dynein head data/7-16_5uM_3A_spot1_steps ahmet.xlsx
# time (ms)	 position (nm)
1	24.102
2	23.393
3	20.582
4	21.552
5	21.307
6	18.857
7	17.809
8	18.521
9	20.978
10	18.558
11	21.744
12	19.779
13	27.545
14	22.29
15	20.8
16	19.437
17	20.487
18	18.216
19	17.79
20	17.709
21	12.475
22	17.31
23	17.614
24	15.358
25	20.216
26	21.873
27	15.246
28	14.887
29	15.742
30	18.916
31	18.07
32	17.055
33	17.054
34	18.975
35	14.905
36	15.564
37	20.651
38	19.952
39	15.788
40	14.835
41	21.917
42	17.008
43	17.387
44	17.382
45	14.136
46	17.104
47	17.9
48	14.628
49	14.07
50	15.397
51	14.493
52	18.827
53	14.156
54	16.949
55	14.528
56	20.977
57	21.479
58	19.21
59	15.288
60	15.304
61	18.824
62	15.65
63	17.819
64	33.385
65	31.449
66	22.834
67	23.836
68	21.471
69	23.85
70	26.693
71	25.279
72	27.191
73	28.726
74	27.879
75	28.33
76	29.948
77	23.967
78	22.147
79	20.625
80	19.367
81	22.643
82	18.728
83	29.06
84	25.904
85	18.695
86	18.93
87	27.259
88	19.51
89	20.344
90	23.688
91	23.001
92	25.79
93	25.698
94	22.496
95	23.664
96	21.951
97	26.948
98	23.225
99	27.373
100	25.704
101	24.354
102	22.708
103	27.983
104	22.872
105	23.635
106	27.733
107	20.632
108	27.474
109	26.63
110	23.714
111	25.615
112	24.856
113	27.196
114	24.902
115	26.625
116	24.652
117	23.471
118	23.443
119	26.915
120	25.519
121	26.81
122	18.915
123	29.422
124	20.71
125	23.368
126	25.348
127	20.733
128	21.271
129	23.865
130	22.041
131	23.503
132	22.789
133	18.923
134	25.829
135	26.759
136	26.454
137	21.128
138	30.567
139	22.194
140	23.051
141	24.286
142	22.158
143	20.585
144	28.188
145	18.459
146	22.858
147	27.411
148	18.401
149	28.191
150	24.885
151	21.139
152	24.801
153	24.32
154	19.327
155	24.606
156	24.857
157	26.298
158	24.025
159	25.828
160	24.012
161	29.078
162	24.079
163	24.371
164	27.135
165	27.356
166	24.001
167	24.603
168	26.988
169	25.62
170	21.5
171	24.097
172	27.059
173	24.434
174	24.391
175	20.672
176	23.944
177	21.943
178	23.637
179	22.26
180	25.089
181	20.581
182	18.803
183	19.579
184	20.461
185	30.5
186	26.265
187	34.602
188	30.743
189	29.348
190	35.887
191	35.508
192	34.511
193	38.853
194	33.834
195	34.601
196	36.572
197	31.112
198	37.307
199	30.303
200	38.775
201	32.835
202	36.268
203	41.332
204	37.382
205	42.469
206	38.031
207	35.305
208	36.243
209	39.614
210	37.753
211	42.655
212	42.485
213	42.067
214	40.069
215	38.54
216	36.644
217	36.578
218	41.032
219	43.452
220	39.758
221	34.993
222	37.681
223	42.337
224	34.854
225	35.553
226	39.336
227	44.871
228	38.454
229	37.043
230	39.249
231	44.624
232	40.221
233	39.383
234	36.843
235	36.824
236	37.395
237	33.99
238	40.428
239	41.047
240	39.389
241	40.286
242	39.864
243	41.595
244	36.373
245	43.196
246	37.677
247	39.222
248	41.039
249	29.456
250	36.47
251	32.758
252	34.047
253	35.663
254	38.228
255	35.495
256	30.303
257	31.753
258	31.016
259	34.618
260	31.46
261	32.586
262	34.04
263	33.212
264	16.624
265	10.954
266	17.872
267	17.613
268	20.034
269	20.045
270	23.389
271	17.311
272	18.421
273	20.133
274	20.039
275	17.878
276	29.569
277	29.618
278	28.315
279	28.68
280	28.286
281	33.769
282	28.091
283	28.891
284	31.253
285	33.199
286	30.975
287	30.314
288	29.458
289	30.669
290	30.273
291	34.087
292	27.079
293	29.068
294	33.727
295	31.898
296	31.095
297	32.834
298	31.03
299	29.162
300	34.296
301	29.23
302	29.225
303	29.716
304	35.064
305	29.828
306	30.1
307	31.62
308	34.784
309	29.298
310	26.565
311	30.816
312	34.723
313	35.764
314	34.879
315	32.455
316	30.872
317	32.099
318	32.313
319	33.764
320	32.438
321	33.678
322	32.362
323	35.008
324	33.038
325	31.079
326	31.798
327	31.146
328	33.845
329	35.169
330	32.637
331	32.835
332	36.539
333	29.982
334	29.524
335	33.132
336	32.56
337	33.659
338	32.8
339	36.902
340	32.673
341	36.055
342	27.16
343	32.492
344	35.25
345	28.758
346	31.995
347	34.552
348	33.77
349	32.928
350	33.561
351	32.297
352	30.946
353	34.986
354	29.361
355	30.338
356	30.819
357	29.523
358	32.115
359	31.741
360	35.799
361	22.364
362	26.853
363	24.796
364	29.54
365	26.273
366	28.848
367	22.61
368	27.862
369	27.612
370	25.726
371	27.704
372	27.491
373	27.903
374	29.004
375	23.202
376	23.66
377	19.655
378	25.06
379	22.664
380	21.54
381	22.564
382	23.959
383	21.869
384	21.548
385	22.286
386	26.309
387	24.845
388	26.925
389	22.024
390	21.209
391	24.99
392	25.313
393	23.219
394	26.382
395	25.586
396	20.713
397	23.092
398	22.26
399	23.024
400	22.214
401	23.782
402	23.3
403	25.375
404	27.484
405	24.651
406	24.532
407	21.782
408	23.418
409	24.983
410	26.238
411	31.821
412	36.465
413	38.588
414	35.981
415	37.824
416	33.589
417	33.034
418	27.981
419	29.218
420	30.035
421	30.858
422	30.98
423	31.644
424	34.087
425	32.89
426	28.725
427	30.789
428	31.886
429	33.153
430	32.998
431	31.75
432	27.345
433	30.159
434	28.748
435	29.577
436	31.986
437	32.014
438	23.919
439	29.883
440	30.075
441	32.932
442	31.206
443	31.943
444	33.673
445	36.427
446	35.003
447	35.776
448	31.176
449	28.748
450	34.572
451	29.402
452	29.395
453	26.895
454	36.367
455	31.125
456	29.061
457	28.862
458	24.372
459	24.796
460	27.898
461	25.554
462	25.112
463	26.573
464	27.962
465	28.646
466	24.561
467	24.417
468	20.679
469	23.846
470	20.943
471	18.927
472	26.512
473	21.583
474	20.002
475	23.64
476	29.458
477	25.432
478	22.699
479	26.115
480	23.963
481	27.464
482	27.532
483	28.087
484	22.438
485	25.388
486	26.329
487	24.933
488	26.879
489	20.076
490	26.531
491	24.764
492	20.405
493	22.747
494	24.221
495	22.517
496	23.945
497	23.045
498	16.997
499	30.87
500	25.25
501	33.159
502	31.265
503	35.899
504	26.046
505	31.129
506	27.34
507	28.736
508	29.838
509	31.266
510	26.514
511	28.97
512	30.275
513	33.199
514	31.022
515	30.802
516	32.488
517	34.717
518	38.225
519	37.313
520	34.247
521	38.167
522	36.399
523	39.148
524	41.997
525	37.464
526	38.109
527	40.51
528	40.075
529	37.526
530	37.686
531	37.228
532	38.551
533	42.836
534	37.774
535	42.549
536	39.059
537	38.039
538	37.997
539	40.242
540	39.106
541	41.523
542	47.109
543	45.489
544	45.295
545	47.617
546	48.044
547	43.795
548	45.821
549	45.049
550	37.798
551	45.93
552	46.236
553	39.56
554	41.2
555	39.204
556	43.747
557	47.189
558	48.911
559	43.858
560	47.213
561	45.784
562	47.702
563	43.75
564	45.329
565	46.873
566	43.694
567	43.215
568	40.19
569	46.424
570	41.221
571	48.281
572	44.107
573	44.557
574	39.326
575	46.237
576	43.463
577	42.316
578	40.239
579	38.356
580	56.597
581	48.611
582	55.305
583	54.693
584	57.587
585	64.101
586	54.068
587	53.455
588	50.538
589	52.703
590	80.656
591	80.939
592	106.21
593	96.141
594	101.62
595	98.285
596	100.31
597	99.35
598	99.267
599	100.76
600	94.14
601	94.855
602	94.991
603	92.776
604	99.975
605	99.38
606	94.946
607	103.61
608	101.96
609	98.978
610	102.84
611	94.859
612	105.08
613	96.283
614	98.069
615	99.884
616	98.103
617	94.337
618	95.942
619	100.03
620	100.4
621	106.33
622	93.484
623	102.2
624	100.69
625	100.4
626	96.246
627	98.374
628	97.086
629	97.402
630	101.11
631	99.022
632	100.87
633	103.28
634	102.36
635	99.078
636	102.23
637	104.84
638	96.428
639	99.862
640	97.743
641	102.1
642	102.26
643	100.88
644	97.348
645	95.326
646	100.89
647	103.72
648	102.55
649	109.1
650	107.5
651	110.31
652	107.73
653	113.9
654	110.46
655	110.24
656	112.4
657	115.44
658	112.62
659	113.14
660	111.26
661	110.25
662	103.21
663	100.01
664	103.61
665	102.27
666	101.36
667	102.64
668	101.87
669	97.67
670	100.43
671	102.8
672	102.25
673	103.86
674	97.193
675	100.35
676	100.43
677	101.06
678	105.93
679	101.91
680	102.98
681	100.44
682	101.47
683	98.304
684	105.04
685	102.1
686	101.27
687	102.3
688	97.466
689	100.09
690	104.13
691	100.9
692	100.13
693	100.46
694	101.94
695	108.17
696	98.813
697	101.65
698	101.36
699	104.07
700	107.65
701	101.45
702	103.88
703	101.25
704	105.81
705	98.539
706	96.837
707	108.9
708	106.76
709	105.92
710	106.89
711	99.364
712	99.65
713	100.47
714	106.85
715	96.154
716	104.03
717	106.48
718	104.2
719	95.357
720	99.142
721	97.738
722	101.03
723	107.63
724	101.19
725	102.45
726	102.25
727	99.426
728	102.13
729	105.06
730	103.99
731	104.16
732	101.02
733	106
734	100.33
735	101.62
736	105.43
737	103.74
738	105.86
739	102.2
740	104.11
741	103.05
742	96.876
743	89.714
744	103.1
745	107.23
746	106.52
747	106.23
748	106.09
749	101.33
750	104.66
751	104.68
752	103.96
753	104.2
754	107.68
755	103.66
756	105.77
757	100.07
758	101.32
759	104.12
760	106.68
761	103.32
762	103.9
763	105.74
764	107.72
765	106.32
766	102.75
767	101.42
768	100.93
