#State	time	PE_b1	PE_m1	PE_t	PE_m2	PE_b2	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	fx1	fy1	fx2	fy2	fx3	fy3	fx4	fy4	fx5	fy5
0	0	0	4.9e-32	0	0	0	0	0	-5.245	9.08461	-28.123	15.6448	-5.245	9.08461	3.24159	2.91874	-1.83314e-17	-1.05836e-17	2.0903e-17	1.95518e-17	-2.57159e-18	-8.96819e-18	0	0	0	0
2	0.0001	0.058	0.042	2.8e-05	0.037	0.054	0	0	5.52755	8.91551	-8.38895	28.2228	5.84731	9.15006	0.717341	0	0.0254124	-0.0157555	-0.0323134	0.0107813	0.0134822	0.00988648	-0.0311592	0.00886733	0.024578	-0.0137797
2	0.0002	0.028	0.0092	1.3e-05	0.013	0.025	0	0	2.32602	10.2289	-5.88577	32.5673	2.57897	10.3235	0.717341	0	-0.0019817	0.000450632	0.00585861	0.000974551	-0.00822351	-0.00307925	0.00835764	0.000930755	-0.00401105	0.00072331
2	0.0003	0.057	0.00016	4.6e-05	0.00012	0.054	0	0	5.39626	8.99558	-0.561544	32.0378	5.88655	9.12795	0.717341	0	0.00973581	-0.00584031	-0.0100789	0.00575159	0.000954299	0.000260737	-0.0101283	0.00521755	0.00951709	-0.00538958
2	0.0004	0.0051	0.0034	1.7e-05	0.012	0.0026	0	0	-2.11501	10.2746	-20.0639	25.9039	-2.32194	10.0401	0.717341	0	-0.00244968	-0.000504265	0.00398564	0.00226818	-0.00469952	-0.00530202	0.0111348	0.00595113	-0.00797127	-0.00241302
2	0.0005	0.044	0.0017	2.4e-05	0.00084	0.04	0	0	4.22621	9.601	-5.8086	31.1821	4.56167	9.76018	0.717341	0	0.0117618	-0.00517734	-0.0132042	0.00450665	0.00265938	0.00125983	-0.0117666	0.00356615	0.0105496	-0.00415529
2	0.0006	0.031	0.012	7.5e-06	0.0077	0.027	0	0	2.76268	10.1197	-12.9996	27.9519	2.91656	10.2569	0.717341	0	0.0174934	-0.00477572	-0.0209399	0.00172927	0.00624645	0.0055649	-0.017842	0.000706783	0.0150421	-0.00322524
2	0.0007	0.043	0.00041	3e-05	0.0008	0.04	0	0	4.14909	9.63458	-3.3592	32.2192	4.5405	9.7685	0.717341	0	0.00637848	-0.00274686	-0.00543555	0.00306034	-0.00192595	-0.00065937	-0.00446643	0.00247867	0.00544944	-0.00213278
2	0.0008	0.032	0.0035	1.7e-05	0.0054	0.029	0	0	2.91189	10.0777	-5.65693	32.2817	3.20138	10.1916	0.717341	0	0.0019515	-0.000563872	0.000470748	0.00149865	-0.00519636	-0.00204722	0.00254087	0.00116929	0.000233234	-5.68468e-05
2	0.0009	0.028	0.0018	9.2e-06	0.0039	0.024	0	0	2.31024	10.2324	-8.29587	31.5386	2.51386	10.335	0.717341	0	0.0030278	-0.000683606	-0.00137579	0.00150597	-0.00390813	-0.00197255	0.00156263	0.00127074	0.000693492	-0.000120548
2	0.001	0.026	2.5e-07	5.3e-06	0.00055	0.022	0	0	1.99951	10.2977	-10.9867	30.2425	2.14405	10.3925	0.717341	0	0.00674116	-0.00130894	-0.00670751	0.00133085	-0.000807977	-0.000534128	-0.00323514	0.00106264	0.00400947	-0.000550426
2	0.0011	0.016	0.048	1.1e-11	0.064	0.012	0	0	0.357721	10.4839	-6.56574	33.2546	0.35748	10.4838	0.717341	0	-0.0155832	0.000531715	0.0244003	0.00214913	-0.0190098	-0.00577983	0.0296875	0.00376815	-0.0194948	-0.000669166
2	0.0012	0.025	0.031	1.5e-05	0.037	0.022	0	0	1.85912	10.3239	-3.7404	33.4559	2.13831	10.3933	0.717341	0	-0.00994121	0.0017902	0.0172329	-2.51017e-05	-0.0149796	-0.00372477	0.0195218	0.000341742	-0.0118339	0.00161792
2	0.0013	0.045	0.018	1.9e-05	0.014	0.041	0	0	4.3153	9.56129	-9.36519	29.0365	4.58269	9.75188	0.717341	0	0.0198933	-0.00897844	-0.0244122	0.00580407	0.00862339	0.00614296	-0.0225284	0.0043341	0.018424	-0.00730269
2	0.0014	0.023	0.15	0.00054	0.089	0.03	0	0	1.63252	10.3622	5.40775	33.8609	3.37458	10.1479	0.717341	0	-0.0298985	0.00471039	0.0465025	-0.00737794	-0.0284904	0.0036867	0.0322409	-0.00634901	-0.0203545	0.00532986
2	0.0015	0.064	0.035	3.4e-05	0.031	0.059	0	0	5.9731	8.62335	-6.1336	29.114	6.34897	8.85013	0.717341	0	0.0234068	-0.0162131	-0.0299928	0.0123219	0.0129939	0.00783852	-0.0292862	0.010611	0.0228783	-0.0145583
2	0.0016	0.04	0.0023	2.8e-05	0.0032	0.037	0	0	3.7551	9.79486	-3.42752	32.4852	4.13354	9.91815	0.717341	0	0.00367867	-0.00141031	-0.00163629	0.00205682	-0.00415887	-0.00135564	-0.000502912	0.00161135	0.0026194	-0.000902224
2	0.0017	0.033	0.004	1.8e-05	0.0059	0.03	0	0	2.96941	10.0609	-5.3081	32.3751	3.26986	10.1747	0.717341	0	0.00166337	-0.000490932	0.000919521	0.00144906	-0.00548382	-0.00207901	0.0028803	0.00112606	2.06297e-05	-5.17535e-06
2	0.0018	0.026	0.025	0.006	0.36	0.00042	0	0	2.0906	10.2796	-3.8508	33.326	-3.67381	9.5267	0.717341	0	-0.00794756	0.00161633	0.0123631	-0.000477993	-0.0315233	-0.00133993	0.0779304	0.0236273	-0.0508227	-0.0234257
2	0.0019	0.063	0.043	3.2e-05	0.039	0.058	0	0	5.90392	8.67086	-7.27259	28.4905	6.25532	8.90903	0.717341	0	0.0252482	-0.0171913	-0.0324112	0.0124293	0.0140753	0.00953745	-0.0315541	0.0105423	0.0246418	-0.0153177
2	0.002	0.034	0.0073	2.3e-05	0.0093	0.031	0	0	3.11513	10.0168	-3.80565	32.7883	3.46109	10.1248	0.717341	0	-0.000289609	9.00656e-05	0.00385698	0.000994137	-0.0073071	-0.00228329	0.00536748	0.000757982	-0.00162776	0.000441109
2	0.0021	0.019	0.063	8.1e-06	0.073	0.016	0	0	1.01493	10.4408	-2.98211	33.9027	1.22573	10.4777	0.717341	0	-0.017942	0.00174411	0.0284191	4.07909e-05	-0.0216043	-0.00378368	0.0314708	0.00101168	-0.0203437	0.000987089
2	0.0022	0.03	0.0035	8.2e-06	0.0014	0.026	0	0	2.67047	10.1444	-11.3191	29.3988	2.84452	10.2721	0.717341	0	0.0126296	-0.00332469	-0.01457	0.00191487	0.00324519	0.00237604	-0.0115365	0.00115259	0.0102317	-0.00211882
2	0.0023	0.017	0.034	7.3e-07	0.046	0.014	0	0	0.668905	10.4687	-7.20885	32.9271	0.729484	10.49	0.717341	0	-0.0118582	0.000757693	0.0191506	0.00180027	-0.0157225	-0.00554057	0.0237674	0.00296485	-0.0153373	1.77543e-05
2	0.0024	0.0066	0.23	0.0017	0.09	0.018	0	0	-1.66345	10.3573	-0.926711	34.1459	1.44736	10.4646	0.717341	0	-0.0416626	-0.00669132	0.0628815	0.00603416	-0.0326329	-0.000487103	0.0342246	-0.000447037	-0.0228106	0.0015913
2	0.0025	0.02	0.001	1.7e-06	0.0036	0.017	0	0	1.20742	10.4203	-12.0223	30.2045	1.28809	10.4745	0.717341	0	0.0030593	-0.000354489	-0.00192746	0.00111135	-0.00319359	-0.00214777	0.00227164	0.00137947	-0.000209888	1.14368e-05
2	0.0026	0.048	0.00016	3.3e-05	3.1e-05	0.045	0	0	4.65273	9.40171	-3.14285	31.8888	5.06224	9.54788	0.717341	0	0.00948086	-0.0046919	-0.00983808	0.00456807	0.00071997	0.000257063	-0.00909231	0.00383929	0.00872956	-0.00397251
2	0.0027	0.012	0.2	0.0011	0.095	0.022	0	0	-0.354295	10.484	1.74815	34.191	2.13271	10.3941	0.717341	0	-0.037739	-0.00127535	0.0572428	-0.000454346	-0.0315737	0.00153464	0.0349598	-0.00292187	-0.0228899	0.00311692
2	0.0028	0.049	0.02	2.2e-05	0.016	0.044	0	0	4.681	9.38767	-8.53416	29.1816	4.97496	9.58712	0.717341	0	0.0204966	-0.0102202	-0.0253418	0.00698539	0.00933463	0.00633	-0.0237392	0.00545366	0.0192498	-0.0085488
2	0.0029	0.033	0.002	1.7e-05	0.0035	0.03	0	0	3.01567	10.0472	-5.97792	32.0825	3.30254	10.1665	0.717341	0	0.00338723	-0.00101668	-0.00155761	0.00176342	-0.0040186	-0.00167368	0.000519178	0.00135155	0.00166981	-0.00042461
2	0.003	0.02	0.11	8.7e-05	0.1	0.02	0	0	1.12758	10.4292	1.42169	34.2274	1.82933	10.4309	0.717341	0	-0.0258903	0.00279919	0.0402673	-0.00297687	-0.0276696	-5.00268e-05	0.0378745	-0.00239286	-0.0245819	0.00262057
2	0.0031	0.014	0.16	0.00023	0.13	0.016	0	0	0.0774553	10.4897	0.87831	34.2762	1.20798	10.4785	0.717341	0	-0.0327932	0.000242143	0.049868	-0.000817024	-0.0315335	0.000374583	0.0427035	-0.00112223	-0.0282448	0.00132252
2	0.0032	0.049	0.017	2.3e-05	0.013	0.044	0	0	4.6768	9.38976	-8.05632	29.4972	4.97988	9.58493	0.717341	0	0.0194474	-0.00968626	-0.0239311	0.00684696	0.00863565	0.00555754	-0.0223817	0.00538874	0.0182297	-0.00810698
2	0.0033	0.0087	0.0023	3.5e-06	4.8e-05	0.0058	0	0	-1.11674	10.4304	-20.7652	23.8609	-1.19689	10.3139	0.717341	0	0.00853022	0.000913295	-0.0097036	-0.00262992	0.00131004	0.00191403	-0.00397125	-0.0009091	0.00383458	0.000711692
2	0.0034	0.047	0.00096	2.9e-05	0.00048	0.044	0	0	4.54246	9.45548	-4.33236	31.5389	4.92041	9.61115	0.717341	0	0.0110124	-0.0052904	-0.0120876	0.0048583	0.00205221	0.000844362	-0.0110553	0.00399509	0.0100783	-0.00440735
2	0.0035	0.031	0.0013	1.3e-05	0.0029	0.027	0	0	2.72243	10.1306	-7.25809	31.7368	2.96801	10.2457	0.717341	0	0.00389159	-0.00104581	-0.00241843	0.0017263	-0.0034276	-0.00161047	7.44735e-05	0.00134295	0.00187997	-0.000412971
2	0.0036	0.014	0.019	7.5e-07	0.031	0.01	0	0	-0.0297721	10.49	-11.3258	31.4385	-0.0871792	10.4591	0.717341	0	-0.00820277	-2.32807e-05	0.0132907	0.00276684	-0.0116437	-0.0062555	0.0190808	0.00447537	-0.012525	-0.00096343
2	0.0037	0.049	0.00024	3.9e-05	0.00039	0.046	0	0	4.7025	9.37692	-1.69873	32.2999	5.15109	9.50694	0.717341	0	0.00711113	-0.00356621	-0.00632933	0.00378453	-0.0014211	-0.000410442	-0.00594278	0.00326181	0.00658208	-0.00306968
2	0.0038	0.037	0.0012	2.2e-05	0.0021	0.034	0	0	3.50581	9.88683	-4.85937	32.1683	3.83897	10.0148	0.717341	0	0.00470973	-0.00167004	-0.00325367	0.00221669	-0.00313083	-0.00120423	-0.00167027	0.00170024	0.00334504	-0.00104266
2	0.0039	0.013	0.013	7.5e-07	0.023	0.0098	0	0	-0.071466	10.4898	-12.4577	30.8127	-0.127095	10.456	0.717341	0	-0.00591249	-4.02814e-05	0.00997231	0.00251462	-0.00954049	-0.00579412	0.01571	0.00414591	-0.0102293	-0.000826134
2	0.004	0.046	0.0052	4.5e-05	0.0054	0.044	0	0	4.43508	9.50632	0.0211519	32.8934	4.93274	9.60575	0.717341	0	0.00203629	-0.000950014	0.00113073	0.00154774	-0.00600412	-0.00119609	0.00105279	0.0013814	0.00178431	-0.000783027
2	0.0041	0.013	0.0039	3.7e-07	0.00065	0.0097	0	0	-0.129696	10.4892	-18.8401	25.1985	-0.157875	10.4534	0.717341	0	0.0107948	0.000133475	-0.0124179	-0.00219812	0.00227911	0.00289578	-0.00726674	-0.00138463	0.00661076	0.000553488
2	0.0042	0.048	0.00081	3e-05	0.00038	0.044	0	0	4.57622	9.43919	-4.10281	31.6003	4.96046	9.59354	0.717341	0	0.0107977	-0.00523482	-0.0117717	0.00485338	0.00186968	0.000750327	-0.0107976	0.00401061	0.00990189	-0.0043795
2	0.0043	0.024	7.6e-05	3.9e-06	0.00029	0.02	0	0	1.78532	10.337	-11.9339	29.7849	1.90573	10.4225	0.717341	0	0.00734439	-0.00126846	-0.0076012	0.0010873	-0.000279232	-0.000201983	-0.00389571	0.000888464	0.00443175	-0.000505318
2	0.0044	0.016	0.0019	1.6e-08	0.0059	0.012	0	0	0.43998	10.4808	-13.7553	29.584	0.447736	10.4865	0.717341	0	0.00124677	-5.2339e-05	0.000221841	0.00114364	-0.00406501	-0.00302228	0.00519824	0.00199787	-0.00260184	-6.68924e-05
2	0.0045	0.04	0.002	2.8e-05	0.0029	0.037	0	0	3.77565	9.78696	-3.48005	32.454	4.15328	9.91133	0.717341	0	0.00393098	-0.00151651	-0.0019973	0.00213548	-0.00394466	-0.00129992	-0.000858516	0.00167571	0.00286949	-0.00099476
2	0.0046	0.025	0.00036	4.7e-06	3.6e-05	0.021	0	0	1.96564	10.3042	-11.8083	29.7134	2.09793	10.3988	0.717341	0	0.00843466	-0.00160901	-0.00903427	0.00118349	0.000442638	0.000312502	-0.00547418	0.000860637	0.00563115	-0.000747619
2	0.0047	0.0025	0.051	0.0005	0.14	6.6e-07	0	0	-3.08701	10.0255	-16.8224	29.4621	-4.49462	9.1036	0.717341	0	-0.0185166	-0.00570156	0.0257768	0.0108322	-0.0211284	-0.0135283	0.0445901	0.0259865	-0.030722	-0.0175888
2	0.0048	0.036	0.011	1.2e-05	0.0069	0.032	0	0	3.35552	9.93884	-11.0222	28.9051	3.56179	10.097	0.717341	0	0.0169865	-0.00573492	-0.0203672	0.00317215	0.00621272	0.00475877	-0.0177819	0.00201554	0.0149498	-0.00421154
2	0.0049	0.018	0.12	0.00011	0.19	0.011	0	0	0.835458	10.4567	0.772562	34.2566	0.037515	10.4679	0.717341	0	-0.0268405	0.00214448	0.0409615	-0.00210716	-0.0325387	0.000531771	0.0551343	0.00181542	-0.0367166	-0.00238451
2	0.005	0.016	0.0077	2.3e-10	0.0029	0.012	0	0	0.37157	10.4834	-18.396	25.1197	0.372276	10.4843	0.717341	0	0.0137064	-0.000485803	-0.0159791	-0.00242845	0.00366374	0.00469806	-0.0111947	-0.00210647	0.00980372	0.000322664
2	0.0051	0.04	0.00058	2.1e-05	0.00011	0.036	0	0	3.79293	9.78028	-6.47278	31.2525	4.09981	9.9297	0.717341	0	0.0100741	-0.00390689	-0.0108748	0.00352409	0.00129788	0.000629329	-0.00911759	0.00268994	0.00862041	-0.00293647
